nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
1499.2762069702148,1502.715805053711,1496.1012115478516,1492.1324462890625,1506.6845626831055,1483.4011764526367,1518.5908432006836,1474.9344902038574,1538.9638061523438,1492.1324462890625,1536.8471298217773,1503.2449645996094,1526.5283660888672,1476.7865753173828,1538.9638061523438,1504.8324737548828,1567.2742767333984,730.6570434570312,729.3317337036133,729.0666732788086,731.4522247314453,731.4522247314453,751.3318328857422,750.8017120361328,775.4524230957031,770.9463729858398,763.2596054077148,773.5969924926758,801.4284515380859,796.1272201538086,808.8501586914062,818.9225006103516,845.9587707519531,846.2238159179688
1502.5734252929688,1506.229362487793,1498.91748046875,1495.5226745605469,1510.4075927734375,1486.1216659545898,1522.4199829101562,1480.1154747009277,1543.5722351074219,1495.0003967285156,1541.2219848632812,1508.5796127319336,1533.3878173828125,1480.3766136169434,1544.0945129394531,1514.0635299682617,1571.5140991210938,733.6659278869629,732.0978965759277,731.836555480957,737.0633239746094,735.7566337585449,755.6183395385742,755.3570022583008,780.1841354370117,776.0027236938477,775.7413864135742,778.3547668457031,808.9313507080078,803.1819000244141,811.2834014892578,821.4755859375,846.3027191162109,848.3934326171875
,1507.8576202392578,1512.164451599121,1497.7238998413086,1511.404426574707,1488.6035461425781,1525.0849533081055,1488.3502006530762,1545.0990676879883,1488.3502006530762,1543.8323440551758,1515.7112579345703,1537.4987716674805,1485.3100852966309,1545.0990676879883,1516.471290588379,1571.4467315673828,,734.9180030822754,738.211238861084,740.2378463745117,739.2245407104492,760.50390625,758.4773025512695,788.1164169311523,780.5166473388672,780.0099868774414,782.0365982055664,809.6491088867188,804.3292770385742,813.4489898681641,821.3021087646484,846.6346893310547,847.1413421630859
1506.1384811401367,,1502.5712356567383,1498.7491836547852,1513.0181732177734,1492.3791007995605,1527.032356262207,1493.1435089111328,1542.0657577514648,1492.633903503418,1543.5945739746094,1518.3690490722656,1540.282127380371,1486.7734298706055,1548.6906356811523,1515.5662078857422,1570.8585357666016,740.0103912353516,,735.1689300537109,741.7940902709961,741.2844619750977,762.6888198852539,759.8858642578125,794.0309143066406,779.7613372802734,781.2902145385742,792.7568359375,808.3004760742188,805.2427215576172,813.1419372558594,823.3344879150391,846.5225372314453,846.2677307128906
,,1501.5887298583984,1498.2787857055664,1512.5369720458984,1494.714241027832,1528.068214416504,1492.6773567199707,1539.2710723876953,,1543.5994491577148,1520.1752853393555,1541.053337097168,1486.3120956420898,1542.5810012817383,1514.3192443847656,1572.3704223632812,,,738.8573837280273,743.9615859985352,741.9199066162109,765.3992233276367,761.0606536865234,793.9827423095703,782.2430801391602,,806.2328262329102,811.0818099975586,807.253662109375,813.1235046386719,817.7172698974609,846.5559997558594,848.5976715087891
,,1499.8224563598633,1498.0298385620117,1511.6025390625,1494.956771850586,1525.6874084472656,1496.4933013916016,1537.2113952636719,1485.9936714172363,,1520.0534591674805,1541.5649108886719,1483.4327850341797,1544.3818740844727,1512.6268844604492,1571.2711791992188,,,739.8159027099609,744.9364128112793,743.1442337036133,766.6985626220703,761.8340759277344,796.3974838256836,781.2919921875,803.0541458129883,,810.478874206543,806.3824691772461,813.5511779785156,820.4638671875,845.2983245849609,847.0904693603516
,,1497.2631759643555,1493.869285583496,1507.9669494628906,1493.6082305908203,1521.5424728393555,1496.7410354614258,,1484.9929847717285,,1522.8478164672852,1540.6004333496094,1481.8601722717285,1542.1668319702148,1510.8387069702148,1569.5789489746094,,,739.3815689086914,746.6832847595215,744.3363075256348,765.7199020385742,760.7651672363281,793.6228942871094,,803.532356262207,,809.7909698486328,805.6185684204102,816.0495758056641,820.2220001220703,846.8210906982422,844.7348937988281
,,,1488.2181854248047,1502.3838348388672,1492.2273330688477,1517.6185913085938,1491.960060119629,1529.6460189819336,1480.1998977661133,,1520.8258972167969,1538.733413696289,1481.803554534912,1543.2771224975586,1511.7385025024414,1572.1429595947266,,,,746.404411315918,742.1247100830078,765.1280975341797,760.3134384155273,793.213623046875,779.8395538330078,802.8429489135742,,808.1925735473633,803.3779067993164,819.4267730712891,821.2991485595703,849.3846740722656,848.0472717285156
,,,1482.1278686523438,1495.594970703125,1487.6246490478516,1507.6878814697266,1484.601417541504,,1468.1110916137695,,1518.9562683105469,1534.8969192504883,1479.9291610717773,1546.7149810791016,1514.2840042114258,1569.8014373779297,,,,746.0088958740234,742.4327201843262,763.6147003173828,756.187255859375,791.3988647460938,,802.9526672363281,,807.9043045043945,801.0270385742188,823.8595581054688,823.8595581054688,850.8184509277344,844.4913635253906
,,,1475.6399002075195,1489.048095703125,1481.6599044799805,1501.635383605957,1474.818992614746,,1463.8735275268555,,1513.6753997802734,1528.7254104614258,1482.7544555664062,1543.5017852783203,1517.7799530029297,1566.4872741699219,,,,747.350456237793,742.1522407531738,764.3130645751953,754.7373962402344,793.5872497558594,,798.23828125,,806.4459915161133,797.6911010742188,829.9747772216797,822.8614196777344,852.4091796875,842.5599365234375
,,,1468.7015075683594,1481.6663208007812,1477.3447189331055,1493.1906051635742,1464.379898071289,1487.716567993164,1455.736686706543,,1509.036491394043,1523.4418487548828,1486.2760391235352,1537.559097290039,1521.1369934082031,1563.7768249511719,,,,747.8718681335449,744.4106864929199,768.0620803833008,753.3520736694336,794.8862457275391,774.9844436645508,794.5978088378906,,808.1540985107422,796.6168212890625,834.9782562255859,822.8641204833984,856.3222045898438,842.1890411376953
1464.1742782592773,1466.9209289550781,1462.251609802246,1462.251609802246,1475.1609115600586,1472.1395874023438,1487.7955322265625,1456.2089653015137,1508.3954772949219,1454.0116348266602,1505.0994873046875,1506.7474899291992,1519.1074523925781,1488.0702056884766,1521.579444885254,1523.5021057128906,1555.0886840820312,747.7191886901855,742.226375579834,746.895263671875,749.6416702270508,742.226375579834,768.3172225952148,754.0359191894531,792.2109375,772.7114639282227,791.3870086669922,786.443489074707,806.4922409057617,795.7812652587891,839.4490966796875,819.9496307373047,857.5753631591797,840.5476531982422
1462.52294921875,,1457.8804626464844,1456.515022277832,1470.1694030761719,1470.442497253418,1483.5507049560547,1476.1773376464844,1503.7591857910156,1458.9728088378906,1482.458351135254,1506.4900665283203,1514.4096069335938,1487.9201049804688,1508.947853088379,1521.782974243164,1541.445297241211,740.5262832641602,,740.5262832641602,754.7471466064453,747.0897598266602,770.8823547363281,756.3880157470703,777.1723480224609,772.2497482299805,778.8132171630859,795.7688598632812,802.6058197021484,794.4014739990234,840.3457946777344,821.4758148193359,857.848388671875,838.9784088134766
1456.3074645996094,1459.2004470825195,1452.8358764648438,1451.100082397461,1463.5399322509766,1460.0683517456055,1476.5583801269531,1456.5967636108398,1499.7022857666016,1445.892707824707,1499.7022857666016,1503.1738739013672,1506.6454620361328,1488.7089233398438,1502.5952758789062,1521.6889953613281,1524.8712768554688,746.7419319152832,741.5301933288574,746.7419319152832,755.7176971435547,748.4791793823242,772.2215270996094,756.0072402954102,778.8809814453125,767.2993316650391,774.8274078369141,779.4600601196289,801.7547073364258,794.2266387939453,842.0009002685547,827.8134002685547,858.5047149658203,839.39501953125
1448.5054473876953,1451.4400100708008,1444.690528869629,1442.049446105957,1457.3091049194336,1448.5054473876953,1470.2211380004883,1427.0832214355469,1493.9910125732422,1410.3562698364258,1490.4695587158203,1493.9910125732422,1501.327392578125,1486.9480895996094,1487.2415466308594,1525.0972595214844,,745.3429183959961,743.8743286132812,744.1680488586426,747.9863700866699,746.5177879333496,772.6586456298828,756.2104644775391,781.1764526367188,766.4905776977539,782.9387588500977,777.6518478393555,804.0864181518555,795.568603515625,842.8571319580078,840.2136688232422,859.5990295410156,
,,1442.414909362793,1438.5237350463867,1452.5918045043945,1439.4216995239258,1465.7619171142578,1421.1631393432617,1487.013671875,1406.795753479004,1479.8299865722656,1481.9252319335938,1492.4014587402344,1486.714370727539,1457.0816192626953,1522.9321594238281,1484.6191101074219,,,739.1860427856445,747.5802536010742,745.781494140625,767.3666076660156,757.1736373901367,776.9599990844727,767.0668258666992,783.2556610107422,783.8552474975586,807.5389175415039,800.3438720703125,844.7133026123047,817.1323089599609,858.8035888671875,849.8097686767578
,,,1432.7082595825195,1447.9290618896484,1430.3206787109375,1459.866943359375,1414.8014297485352,1477.1768798828125,1400.7744140625,1472.103271484375,1471.5063781738281,1479.8628997802734,1487.3240814208984,1447.3321685791016,1516.5718841552734,1463.7467575073242,,,,745.588809967041,743.4990158081055,763.5013198852539,757.8290252685547,776.0400848388672,772.7561111450195,786.1904983520508,765.8896560668945,808.8796844482422,799.0277938842773,840.5251159667969,817.2388458251953,857.8405456542969,853.0638732910156
,,,1426.2499084472656,1441.277847290039,1421.2406005859375,1452.1804733276367,1405.9179916381836,1465.440414428711,1395.6047096252441,1452.1804733276367,1454.5377960205078,1472.2177276611328,1438.0365295410156,1477.227035522461,1447.4658279418945,1506.9882507324219,,,,744.6236953735352,742.8557319641113,765.2499313354492,759.0620651245117,783.5188980102539,777.3310165405273,796.7786178588867,784.1082077026367,811.5116348266602,803.2611465454102,820.6461181640625,836.5577850341797,856.5946960449219,856.8893585205078
1422.0921325683594,1424.6530456542969,1419.246681213379,1418.108497619629,1431.7666778564453,1413.2712326049805,1438.8803176879883,1400.182144165039,1452.5384902954102,1392.7839622497559,,1445.9939422607422,1461.9284973144531,1429.7748641967773,1431.1975860595703,1444.0021286010742,1497.4966583251953,739.8218040466309,737.5404434204102,738.3959579467773,743.5290107727051,742.1031646728516,767.1981201171875,757.217170715332,787.4451751708984,776.3235549926758,801.4185104370117,,809.6884307861328,803.9850311279297,825.943115234375,825.3727722167969,864.4410552978516,857.8821411132812
